,0
0,0.01633692531516226
1,0.01640526857280905
2,0.016298633702721832
3,0.01615322251623924
4,0.015843011985076427
5,0.015627318725127265
6,0.01558248360929515
7,0.015792291178362894
8,0.01600261807309661
9,0.01615478049323732
10,0.016178150148207726
11,0.016194249243854014
12,0.016253452369779015
13,0.016326677288686364
14,0.0164424869122064
15,0.016598284612009184
16,0.016746811752487822
17,0.01687975912298617
18,0.017078141527401697
19,0.01735130682772254
20,0.017588119331422736
21,0.017743917031225465
22,0.01794074145864294
23,0.011452272522137541
24,0.011518746207386715
25,0.011684930420509637
26,0.011762206079611787
27,0.011880196870929088
28,0.012034332728600633
29,0.012255357732054134
30,0.012695745896829924
31,0.013422282503576799
32,0.014085461379070574
33,0.014519098310188244
34,0.014890935487050866
35,0.01493040423766756
36,0.014917421096017347
37,0.015003109830908856
38,0.015137615178405228
39,0.015275755805563729
40,0.015416493061052222
41,0.015569174806858904
42,0.015794042820240856
43,0.01597476815201207
44,0.016127969223484778
45,0.016269225804639242
46,0.016447873833746435
47,0.016507994712483487
48,0.016734420702863545
49,0.0168907377283323
50,0.01710885450805616
51,0.017372152620722836
52,0.017653627131699823
53,0.017990669488939764
54,0.018430019002383585
55,0.01897063702069915
56,0.019425566304123176
57,0.019648357014841134
58,0.019736123052396692
59,0.019600579053568296
60,0.01944737798209553
61,0.019323259147919353
62,0.01921004615272931
63,0.01919394705708302
64,0.019210565478395336
65,0.019237570413027816
66,0.01927496186098046
67,0.01930040881861489
68,0.01931702723992726
69,0.01930819870360509
70,0.019298850841616894
71,0.01978438722259096
72,0.01976724947561262
73,0.019746995774638232
74,0.019714278257679657
75,0.019698525379144044
76,0.019715490017567006
77,0.01976153689328647
78,0.019848783605176085
79,0.019977576370346334
80,0.020032624890943318
81,0.019978095696012305
82,0.019928759757741443
83,0.019789061153584975
84,0.0195917174005015
85,0.019366330061453524
86,0.019149425041616958
87,0.0189936273418142
88,0.01887002783330402
89,0.018766682025768172
90,0.0187246166468214
91,0.018699169689186973
92,0.018637889260597867
93,0.01861659690829151
94,0.01864515981992204
95,0.018795179529526224
96,0.018848670073125184
97,0.01863470789872934
98,0.018595239148112674
99,0.018512147041551213
100,0.018438402796977893
101,0.018433728865983823
102,0.018500721876898996
